route_key,objective_key,decision_key,sort_order,question,recommended_choice,fast_route_advice,completionist_advice,skip_advice,spoiler_level,source_key,notes
fighter_op_fast_manual,obj_start_borderwatch,spoiler_mode,10,Spoilerroute aanzetten?,"Ja, voor deze OP-route wel.",Zet spoilers aan zodat de app exacte loot/queststappen mag tonen.,Gebruik later low-spoiler profielen als je minder exacte stappen wilt.,Niet overslaan: zonder spoilers wordt de OP-route te vaag.,0,own_playthrough,
fighter_op_fast_manual,obj_borderwatch_sidequest_warning,ordeals_now_or_skip,10,Ordeals of a New Recruit nu doen?,Alleen als je hem direct ziet en het geen omweg wordt.,Niet zoeken of tijd verliezen; OP Fast gaat naar Melve/Vernworth.,Completionist kan hem oppakken omdat hij tijdgevoelig is.,Voor pure OP-route mag je hem skippen.,1,fextralife,
fighter_op_fast_manual,obj_visit_melve,melve_side_content,10,Sidequests in Melve nu doen?,Alleen doen wat de route vraagt.,Blijf op het pad richting Vernworth en voorkom vroege zijpaden.,Completionist kan Melve later uitgebreider leegmaken.,Sla lange omwegen nu over.,1,own_playthrough,
fighter_op_fast_manual,obj_check_vernworth_shops,spend_gold_now,10,Veel goud uitgeven in Vernworth?,"Nee, alleen noodzakelijke supplies/upgrades.","Bewaar geld voor latere gear, huis/fast-travel opties en Battahl.",Completionist kan winkels checken en noteren.,Koop geen dure sidegrades.,0,own_playthrough,
fighter_op_fast_manual,obj_accept_monster_culling,monster_culling_order,10,Monster Culling-volgorde?,"Trevo eerst, omdat dat Vocation Frustration en Monster Culling combineert.",Maximale power spike met minimale backtracking.,Completionist kan alle drie locaties grondiger looten.,Niet eerst losse verre objectives zonder Trevo-synergie.,1,game8,
fighter_op_fast_manual,obj_clear_trevo_mine,optional_trevo_loot,10,Alle loot in Trevo Mine pakken?,Pak verplichte wapens; pak extra loot alleen als die direct op je pad ligt.,Prioriteit: Two-Hander en Grievous Horns. Geen lange backtracking door zijgangen.,Completionist kan de mijn vollediger schoonmaken.,Fast route: laat verre/gevaarlijke loot liggen.,1,own_playthrough,
fighter_op_fast_manual,obj_travel_trevo_to_harve,harve_now_or_return,10,Na Trevo direct Harve doen?,Ja als supplies veilig zijn; anders eerst Vernworth rusten.,Direct doorgaan vermindert backtracking voor Monster Culling.,Completionist kan Harve uitgebreider looten.,Sla Harve niet permanent over als je Monster Culling wilt afronden.,1,game8,
fighter_op_fast_manual,obj_unlock_warrior_sorcerer,switch_vocation_after_unlock,10,Na unlock meteen wisselen van vocation?,Voor Fighter OP Fast: blijf Fighter tenzij je bewust Warrior/Sorcerer wilt testen.,Unlock is de power spike; wisselen is optioneel.,Warrior/Sorcerer-profielen krijgen hier later hogere prioriteit.,Niet verplicht voor Fighter-route.,1,own_playthrough,
fighter_op_fast_manual,obj_resolve_readvent_of_calamity,readvent_required,10,Readvent of Calamity doen?,Ja als hij actief is en je alle vocations/missables wilt veiligstellen.,"Voor pure Fighter kan dit optioneel zijn, maar voor all-vocations is het slim.",Completionist moet deze vóór Feast afhandelen.,Skip alleen bewust; noteer dan dat Sigurd/Mystic Spearhand via latere fallback moet.,2,fextralife,
fighter_op_fast_manual,obj_claim_thief_maister_scrolls,thief_scrolls_now,10,Thief maister-scrolls nu pakken?,Pak ze mee als je toch in Nameless Village bent.,"Geen extra lange reis, dus hoge waarde voor later.",Completionist/all-vocations absoluut meenemen.,Pure Fighter kan markeren als skip.,1,game8,
fighter_op_fast_manual,obj_collect_courtly_attire,ornate_box_needed,10,The Ornate Box nodig voor courtly attire?,Alleen als je de kleding niet direct uit Vernworth/castle-route hebt.,Sneller: pak courtly attire direct als de route dat aanbiedt.,Completionist kan The Ornate Box doen voor Sven-content.,Niet verplicht als je al Courtly Tunic en Breeches hebt.,1,game8,
fighter_op_fast_manual,obj_pre_feast_missable_sweep,start_feast_now,10,Feast of Deception nu starten?,Pas starten na missable sweep en courtly check.,Niet eerder; dit is de Act 1 boundary.,Completionist checkt open Vernworth/Melve quests.,Niet starten als Readvent/Arisen Shadow nog actief en gewenst is.,2,game8,
fighter_op_fast_manual,obj_optional_vernworth_sidequests,sidequest_policy,10,Welke sidequests wel/niet?,"Wel: missable, vocation unlock, maister, portcrystal/Ferrystone, duidelijke gear/gold.",OP Fast skipt lage beloning/veel lopen/geen permanent voordeel.,"Completionist kan alles doen, maar buiten OP Fast-flow.",Skip fetchquests zonder OP-beloning.,1,own_playthrough,
fighter_op_fast_manual,obj_act1_complete_battahl_ready,next_route_branch,10,Wat is de volgende routefase?,Sprint 4C All Vocations Unlock of Sprint 4D Battahl power spike.,"Fast route: ga naar de volgende concrete power spike, niet losse collectibles.",Completionist kan extra Vernworth/Melve content afvinken.,Sla losse sidequests zonder OP-beloning voorlopig over.,2,own_playthrough,
