route_key,objective_key,step_key,sort_order,title,summary,instruction,objective_type,route_stage,importance,is_required,is_op_critical,skip_for_fast_route,vocation_keys,spoiler_level,why_text,next_hint,source_key,notes
fighter_op_fast_manual,obj_start_borderwatch,start_borderwatch,10,Start bij Borderwatch,Start de Fighter OP Fast-route en accepteer dat deze route spoilers gebruikt.,Start de Fighter OP Fast-route en accepteer dat deze route spoilers gebruikt.,visit,start_setup,required,1,0,0,fighter,0,Eerste vaste startstap.,Check basisvoorraad,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_borderwatch_supplies,borderwatch_supplies,20,Check basisvoorraad,"Controleer healing, lantern en party-basis voordat je richting Melve gaat.","Controleer healing, lantern en party-basis voordat je richting Melve gaat.",checklist,start_setup,required,1,0,0,fighter,0,Voorbereiding voor veilige start.,Borderwatch sidequest-keuze,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_borderwatch_sidequest_warning,borderwatch_sidequest_warning,30,Borderwatch sidequest-keuze,Doe Ordeals of a New Recruit alleen als je hem direct en veilig oppakt; het is geen OP-kernstap.,Doe Ordeals of a New Recruit alleen als je hem direct en veilig oppakt; het is geen OP-kernstap.,decision,start_setup,optional,0,0,1,fighter,1,Tijdgevoelige sidequest-waarschuwing zonder OP-beloning.,Ga naar Melve,fextralife,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_travel_to_melve,travel_to_melve,40,Ga naar Melve,"Volg de route naar Melve en pak alleen veilige, directe loot onderweg.","Volg de route naar Melve en pak alleen veilige, directe loot onderweg.",visit,start_setup,required,1,0,0,fighter,0,Eerste routeverplaatsing.,Bezoek Melve,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_visit_melve,visit_melve,50,Bezoek Melve,Activeer Melve als vroeg routeknooppunt en werk de noodzakelijke story-context af.,Activeer Melve als vroeg routeknooppunt en werk de noodzakelijke story-context af.,visit,start_setup,required,1,0,0,fighter,0,Melve is vroeg belangrijk routepunt.,Rond Melve-story af,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_complete_in_dragons_wake_melve,complete_in_dragons_wake_melve,60,Rond Melve-story af,Volg In Dragon's Wake door Melve zodat de route logisch naar Vernworth opent.,Volg In Dragon's Wake door Melve zodat de route logisch naar Vernworth opent.,quest,start_setup,required,1,0,0,fighter,1,Houdt de main-route schoon en voorkomt verdwalen.,Zet Melve op de route vast,game8,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_secure_melve_checkpoint,secure_melve_checkpoint,70,Zet Melve op de route vast,Noteer Melve als veilige latere terugkeerplek en laat lange zijpaden nog liggen.,Noteer Melve als veilige latere terugkeerplek en laat lange zijpaden nog liggen.,checklist,start_setup,required,1,0,0,fighter,0,Voor minder backtracking.,Reis richting Vernworth,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_travel_melve_to_vernworth,travel_melve_to_vernworth,80,Reis richting Vernworth,Ga vanuit Melve richting Vernworth via de hoofdroute of Gregor/oxcart-context als beschikbaar.,Ga vanuit Melve richting Vernworth via de hoofdroute of Gregor/oxcart-context als beschikbaar.,visit,start_setup,required,1,0,0,fighter,0,Vernworth is de eerste grote hub.,Bereik Vernworth,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_reach_vernworth,reach_vernworth,90,Bereik Vernworth,"Maak Vernworth je hoofd-hub voor Brant, vocation guild, shops, storage en oxcart.","Maak Vernworth je hoofd-hub voor Brant, vocation guild, shops, storage en oxcart.",visit,vernworth_hub,required,1,0,0,fighter,0,Vernworth wordt de centrale routehub.,Spreek Brant in Stardrop Inn,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_meet_brant_stardrop,meet_brant_stardrop,100,Spreek Brant in Stardrop Inn,Ga naar de Stardrop Inn en start de Brant-route/Seat of the Sovran-context.,Ga naar de Stardrop Inn en start de Brant-route/Seat of the Sovran-context.,talk,vernworth_hub,required,1,0,0,fighter,1,Brant opent de Act 1 questbundel.,Check Vernworth winkels,game8,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_check_vernworth_shops,check_vernworth_shops,110,Check Vernworth winkels,"Controleer vocation guild, Roderick, inn/storage en basisvoorraad zonder al je goud te verspillen.","Controleer vocation guild, Roderick, inn/storage en basisvoorraad zonder al je goud te verspillen.",shop,vernworth_hub,required,1,0,0,fighter,0,Voorbereiding op Trevo Mine en Brant-quests.,Zet Vernworth hub-regels,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_set_vernworth_hub_rules,set_vernworth_hub_rules,120,Zet Vernworth hub-regels,"Leg vast: verkoop geen questwapens, bewaar Ferrystones, rust bij voorkeur veilig en gebruik oxcart slim.","Leg vast: verkoop geen questwapens, bewaar Ferrystones, rust bij voorkeur veilig en gebruik oxcart slim.",checklist,vernworth_hub,required,1,0,0,fighter,0,Voorkomt dat de OP-route zichzelf blokkeert.,Start Disa's Plot,own_playthrough,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_accept_disa_plot,accept_disa_plot,130,Start Disa's Plot,Vraag Brant naar de queen regent en zet Disa's Plot actief.,Vraag Brant naar de queen regent en zet Disa's Plot actief.,accept,act1_mainline,required,1,0,0,fighter,1,Kortste Brant-objective en goede vroege reward/context.,Voltooi Disa's Plot,game8,Sprint 4B volledige Fighter OP Fast Act 1 objective.
fighter_op_fast_manual,obj_complete_disa_plot,complete_disa_plot,140,Voltooi Disa's Plot,"Ga ’s nachts naar het kasteel, gebruik Marcher Set-context, pak de Torn Letter en rapporteer aan Brant.","Ga ’s nachts naar het kasteel, gebruik Marcher Set-context, pak de Torn Letter en rapporteer aan Brant.",complete,act1_mainline,required,1,0,0,fighter,1,Snelle Act 1 progressie zonder lange reis.,Start Monster Culling,game8,Sprint 4B volledige Fighter OP Fast Act 1 objective.
