point_key,entity_type,entity_key,route_key,step_key,location_key,name,world_x,world_y,relation_type,accuracy_level,accuracy_score,route_priority,is_primary,is_verified,spoiler_level,notes,source_key
step_start_borderwatch_gate,route_step,start_borderwatch,fighter_op_fast_manual,start_borderwatch,borderwatch_outpost,Startpunt Borderwatch gate,1170,1851,step_target,verified,95,100,1,1,0,Handmatig/basis-kalibratiepunt. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_borderwatch_supplies,route_step,borderwatch_supplies,fighter_op_fast_manual,borderwatch_supplies,borderwatch_outpost,Borderwatch supply check,1174,1846,step_target,estimated_high,80,92,1,0,0,Subpunt rond Borderwatch Outpost voor voorbereiding. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_travel_to_melve_road,route_step,travel_to_melve,fighter_op_fast_manual,travel_to_melve,gtb_martyrs_resting_place_tree,Routepunt richting Melve,1171,1924,route_checkpoint,estimated_high,75,88,1,0,0,Nuttig routepunt langs vroege weg richting Melve. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_visit_melve_center,route_step,visit_melve,fighter_op_fast_manual,visit_melve,melve,Melve centrum,1104,1710,step_target,verified,95,90,1,1,0,Gekalibreerd hoofdanker. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_reach_vernworth_gate,route_step,reach_vernworth,fighter_op_fast_manual,reach_vernworth,vernworth,Vernworth ingang/hub,1205,1327,step_target,verified,95,92,1,1,0,Gekalibreerd hoofdanker. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_check_vernworth_shops,route_step,check_vernworth_shops,fighter_op_fast_manual,check_vernworth_shops,rodericks_smithy,Vernworth shop-check routepunt,1212,1324,shop_check,estimated_high,78,82,1,0,0,Gebundeld rond Roderick's Smithy als vroege shopcheck. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_speak_roderick,route_step,speak_roderick,fighter_op_fast_manual,speak_roderick,rodericks_smithy,Praat met Roderick,1212,1324,talk_target,estimated_high,82,95,1,0,1,Spreekpunt voor Vocation Frustration clue. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_accept_vocation_frustration,route_step,accept_vocation_frustration,fighter_op_fast_manual,accept_vocation_frustration,vernworth_vocation_guild,Accepteer Vocation Frustration bij Klaus,1210,1328,quest_accept,estimated_high,82,96,1,0,1,Baliepunt in Vernworth Vocation Guild. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_prepare_trevo_mine,route_step,prepare_for_trevo_mine,fighter_op_fast_manual,prepare_for_trevo_mine,stardrop_inn,Vernworth voorbereiding voor Trevo Mine,1202,1331,prep_target,estimated_high,74,80,1,0,1,Rust/storage/healing voorbereiding rond de hub. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_enter_trevo_mine,route_step,enter_trevo_mine,fighter_op_fast_manual,enter_trevo_mine,trevo_mine,Trevo Mine ingang,984,1401,dungeon_entrance,estimated_high,76,92,1,0,1,Berekend ingangspunt rond Trevo Mine; in-game corrigeren. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
