item_key,name,item_type,rarity,value_gold,weight,is_unique,is_missable,keep_warning,description,notes,source_key
two_hander,Two-Hander,weapon,common,1600,,0,0,1,Early greatsword used for the Warrior unlock route.,Found in Trevo Mine for Vocation Frustration; keep until turned in or vocation is unlocked.,game8
grievous_horns,Grievous Horns,weapon,common,1540,,0,0,1,Early archistaff used for the Sorcerer unlock route.,Found in Trevo Mine for Vocation Frustration; keep until turned in or vocation is unlocked.,game8
ferrystone,Ferrystone,consumable,uncommon,10000,,0,0,1,Consumable fast-travel item used with Portcrystals.,Useful but scarce early; do not waste during OP route unless route safety requires it.,game8
ring_of_cooling,Ring of Cooling,accessory,uncommon,0,,0,0,1,Accessory loot associated with Trevo Mine route data.,Exact stats should be checked in own playthrough before using in calculations.,game8
signs_of_valor,Signs of Valor,weapon,uncommon,0,,0,0,0,Weapon/loot listed for Trevo Mine route data.,Keep as low-priority loot until item stats are verified.,game8
rangers_tights,Ranger's Tights,armor,common,0,,0,0,0,Leg armor listed for Trevo Mine route data.,Optional early loot; verify exact stats later.,game8
jasper,Jasper,material,common,0,,0,0,0,Valuable/trade material listed as Trevo Mine loot.,Route treats this as optional value loot.,game8
explosive_arrow,Explosive Arrow,consumable,common,0,,0,0,0,Ammunition listed as Trevo Mine loot.,Useful only for bow users or sale/storage.,game8
golden_trove_beetle,Golden Trove Beetle,collectible,rare,0,,0,0,1,Permanent carry-capacity collectible. Consuming one increases carry capacity for the Arisen or main pawn.,Sprint 3I adds route-friendly starter markers; exact marker positions should be verified through calibration before publishing as precise collectible map.,game8
newt_liqueur,Newt Liqueur,consumable,rare,0,,0,0,1,Alcohol item used for The Sotted Sage and Warfarer unlock.,"Sprint 3I adds Higg's Tavern Stand, Earland, lab, Windwalker's Home and crafting sources.",game8
portcrystal,Portcrystal,key_item,rare,0,,0,0,1,Reusable fast-travel target that can be placed in the world and used with Ferrystones.,"Sprint 3I adds quest, nest and Dragonforged acquisition routes plus recommended placement context.",game8
beastren_mask,Beastren Mask,armor,uncommon,8700,,0,0,1,Mask used to pass as Beastren for specific Battahl interactions.,Useful for safely accessing Higg's Tavern Stand secret Newt Liqueur purchase route.,game8
fruit_wine,Fruit Wine,material,rare,0,,0,0,1,Rare ingredient that can be combined with Saurian Tail to make Newt Liqueur.,Guide sources report several quest reward routes; exact reward rows can be expanded later.,game8
saurian_tail,Saurian Tail,material,common,0,,0,0,0,Monster material used in the Newt Liqueur crafting route.,Farm by fighting Saurians and cutting tails; exact farming spots later.,game8
wyrmslife_crystal,Wyrmslife Crystal,currency,rare,0,,0,0,1,Special currency used by the Dragonforged.,Needed for Dragonforged Portcrystal purchase route.,game8
marcher_set,Marcher Set,armor,common,0,,0,0,1,Castle guard disguise set used for stealth/sneak routes.,Route uses it during Disa's Plot / castle infiltration context.,game8
courtly_tunic,Courtly Tunic,armor,common,0,,0,0,1,Formal attire item needed for masquerade/coronation route steps.,Keep one in storage until Act 1 Brant route is done.,game8
courtly_breeches,Courtly Breeches,armor,common,0,,0,0,1,Formal attire item needed for masquerade/coronation route steps.,Keep one in storage until Act 1 Brant route is done.,game8
torn_letter,Torn Letter,quest_item,quest,0,,1,0,1,Evidence item collected during Disa's Plot.,Turn in to Brant to complete the quest.,game8
wakestone,Wakestone,consumable,rare,0,,0,0,1,Revive item; route treats this as high-value safety stock.,Disa's Plot can reward a Wakestone according to public guide data.,fextralife
gaol_key,Gaol Key,key_item,quest,0,,1,0,1,Key provided by Brant for The Caged Magistrate.,Return/forgery decisions are handled as route notes later.,game8
bill_of_arrest_darragh,Bill of Arrest for Darragh,quest_item,quest,0,,1,0,1,Quest evidence from The Nameless Village route.,Return to Brant to complete The Nameless Village.,game8
blades_of_the_pyre_scroll,Legend's Opus / Blades of the Pyre Scroll,skill_scroll,unique,0,,1,0,1,Thief Maister scroll from the Nameless Village route.,Useful for future Thief route; optional for Fighter OP Fast.,game8
formless_feint_scroll,Pilferer's Handbook / Formless Feint Scroll,skill_scroll,unique,0,,1,0,1,Thief Maister scroll from Srail in the Nameless Village Depths.,High-value future vocation unlock content.,game8
ring_of_grit,Ring of Grit,accessory,uncommon,0,,0,0,0,Reward associated with Readvent of Calamity public guide data.,Optional reward; route mainly cares about Sigurd/Mystic Spearhand opportunity.,fextralife
dead_ringer,Dead Ringer,weapon,rare,0,,0,0,1,Duospear noted around the Readvent of Calamity lesser dragon opportunity.,Useful later for Mystic Spearhand context; verify drop/availability in playthrough.,fextralife
