flag_key,flag_type,name,description,spoiler_level,sort_order,is_active,source_key,notes
route_milestone:borderwatch_started,route_milestone,Borderwatch started,Fighter OP route has started at Borderwatch Outpost.,0,10,1,own_playthrough,
route_milestone:borderwatch_supplies_checked,route_milestone,Borderwatch supplies checked,Initial equipment and supplies were checked.,0,20,1,own_playthrough,
location_reached:melve,location_reached,Melve reached,Player reached Melve during the early route.,0,30,1,own_playthrough,
route_milestone:melve_secured,route_milestone,Melve secured,Melve is established as a known early route stop.,0,40,1,own_playthrough,
location_reached:vernworth,location_reached,Vernworth reached,Player reached Vernworth and can use it as first main hub.,0,50,1,own_playthrough,
route_milestone:vernworth_base_ready,route_milestone,Vernworth base ready,Essential Vernworth prep step has been completed.,0,60,1,own_playthrough,
npc_spoken:roderick_vocation_frustration,npc_spoken,Roderick spoken to,Roderick has provided the Trevo Mine lead for Vocation Frustration.,1,70,1,game8,
quest_active:vocation_frustration,quest_active,Vocation Frustration active,Vocation Frustration has been accepted/activated.,1,80,1,game8,
route_milestone:trevo_prepared,route_milestone,Trevo Mine prepared,Player is prepared for Trevo Mine with party and supplies.,1,90,1,own_playthrough,
location_reached:trevo_mine,location_reached,Trevo Mine reached,Player reached Trevo Mine.,1,100,1,game8,
dungeon_entered:trevo_mine,dungeon_entered,Trevo Mine entered,Player entered Trevo Mine.,1,110,1,own_playthrough,
dungeon_cleared:trevo_mine,dungeon_cleared,Trevo Mine cleared,Trevo Mine route enemies were cleared enough for safe looting.,1,120,1,game8,
item_obtained:two_hander,item_obtained,Two-Hander obtained,Two-Hander greatsword has been obtained.,1,130,1,game8,
item_obtained:grievous_horns,item_obtained,Grievous Horns obtained,Grievous Horns archistaff has been obtained.,1,140,1,game8,
dungeon_exited:trevo_mine,dungeon_exited,Trevo Mine exited,Player left Trevo Mine after collecting key items.,1,150,1,own_playthrough,
quest_turnin_ready:vocation_frustration,quest_turnin_ready,Vocation Frustration turn-in ready,Both required weapons are ready to be returned to Klaus.,1,160,1,game8,
vocation_unlocked:warrior,vocation_unlock,Warrior unlocked,Warrior vocation is available after turning in a greatsword.,1,170,1,game8,
vocation_unlocked:sorcerer,vocation_unlock,Sorcerer unlocked,Sorcerer vocation is available after turning in an archistaff.,1,180,1,game8,
quest_completed:vocation_frustration,quest_completed,Vocation Frustration completed,Vocation Frustration route objective is complete.,1,190,1,game8,
route_milestone:first_op_spike_complete,route_milestone,First OP spike complete,First route milestone completed: Vernworth + Warrior/Sorcerer unlock.,1,200,1,own_playthrough,
